prompt,simplification1,simplification2,question,options,answer
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Ihre Vereinfachung sollte den zentralen Wortschatz der deutschen Sprache benutzen und für österreichische Leser:innen verständlich sein. Komplex: Sämtliche bislang unter den Programmen Erasmus+, Lebenslanges Lernen ( LLP-Erasmus ) absolvierte Praktikums- und Studienaufenthalte sowie geförderte Erasmus Mundus Aufenthalte sind bei der Festlegung der Dauer des aktuell angestrebten Aufenthalts zu berücksichtigen. Leicht:","Alle Praktika und Studienaufenthalte, die du bisher mit den Programmen Erasmus+, Lebenslanges Lernen (LLP-Erasmus) oder Erasmus Mundus gemacht hast, müssen bei der Planung deines neuen Aufenthalts gezählt werden.","Alle Praktika und Studien, die du schon mit Erasmus+, Lebenslanges Lernen oder Erasmus Mundus gemacht hast, zählen zur Dauer deines neuen Aufenthalts dazu.",1.188400953,1.310280746,pilot_capito_14321
"Schreibe den folgenden Satz in Leicher Sprache auf Sprachniveau A2: Und sie wissen nicht, wie hart die Menschen, die das anbauen, dafür arbeiten müssen.","Und sie wissen nicht, wie viel Arbeit die Menschen haben, die das anbauen.","Und sie wissen nicht, wie schwer die Menschen dafür arbeiten müssen, die das anbauen.",1.281242075,1.114606252,pilot_capito_25700
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Halten Sie sich an die Richtlinien des Buches ""Leichte Sprache: das Regelbuch"" von Christiane Maaß aus dem Jahr 2015. Geben Sie Ihre Vereinfachung ohne weiteren Metakommentar an. Komplex: Anfangs besteht die Enderlin-Belegschaft fast zur Hälfte aus zugezogenen Fachkräften aus der Schweiz. Leicht:",Am Anfang arbeiten viele Leute aus der Schweiz bei Enderlin. Fast die Hälfte der Mitarbeiter kommt aus der Schweiz.,Am Anfang arbeiten viele Menschen aus der Schweiz bei Enderlin.,1.157624392,1.089936633,pilot_capito_16233
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Satz oder die Sätze Ihrer Vereinfachung sollten kurz und von geringer Komplexität sein (durchschnittlich acht bis zehn Wörter pro Satz) und eine geringe Anzahl von Aussagen pro Satz enthalten. Komplex: Im Rahmen von Ausschreibungen über die Neuvergabe von Buslinien des öffentlichen Nahverkehrs erhielten immer wieder Verkehrsbetriebe den Zuschlag, welche die Kraftfahrlinien mit nicht barrierefreien Bussen beschickten. Leicht:","Bei neuen Ausschreibungen für Buslinien gewannen oft Firmen. Diese Firmen nutzen Busse, die nicht barrierefrei sind.",Bei neuen Ausschreibungen für Buslinien gewannen oft Firmen. Diese Firmen hatten Busse ohne Rollstuhlrampen.,1.292990848,1.50112909,pilot_capito_11564
"Vereinfache den folgenden Satz auf Sprachniveau A2: Befinden sich Personen ohne Ausweisschild in unserem Betrieb, ist jeder Mitarbeiter angehalten, die Person ( en ) anzusprechen und eine Registrierung einzufordern oder zum Verlassen der Produktions- bzw.","Wenn jemand ohne Ausweisschild in unserer Firma ist, soll jeder Mitarbeiter die Person ansprechen und fragen, wer sie ist oder sie bitten zu gehen.","Wenn jemand ohne Ausweis in unserem Betrieb ist, soll jeder Mitarbeiter die Person ansprechen und um Anmeldung bitten oder sie bitten zu gehen.",1.271159651,1.171295806,pilot_capito_52045
Vereinfache den folgenden Satz auf Sprachniveau A2 ohne Ihre Vereinfachung zu erläutern oder voranzustellen: Vielleicht zieht er in Richtung Florida in den USA weiter.,Vielleicht geht er nach Florida in die USA.,Vielleicht geht er weiter nach Florida in den USA.,1.439178798,1.195066367,pilot_apa_2572
"Schreibe den folgenden Satz in Leicher Sprache auf Sprachniveau A2: Veranstaltungen Gemeinsam mit der Beauftragten für Menschen mit Behinderung der Stadt Graz, dem Sonderpädagogischen Zentrum Graz und dem Landesschulrat Steiermark wurde 2009 eine Enquete mit dem Titel 14 Jahre - was nun? ","Im Jahr 2009 gab es eine Veranstaltung. Die Veranstaltung hieß ""14 Jahre - was nun?"". Sie wurde von der Stadt Graz, dem Sonderpädagogischen Zentrum Graz und dem Landesschulrat Steiermark organisiert. Auch die Beauftragte für Menschen mit Behinderung war dabei.","Im Jahr 2009 gab es eine Veranstaltung in Graz. Die Veranstaltung wurde von der Beauftragten für Menschen mit Behinderung, dem Sonderpädagogischen Zentrum Graz und dem Landesschulrat Steiermark organisiert. Der Titel war ""14 Jahre - was nun?"".",1.171105038,1.215488001,pilot_capito_60870
"Schreibe den folgenden komplexen Satz um und verwende einfachere Wörter, kürzere Sätze und einfachere grammatikalische Strukturen. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Inhalt soll dabei erhalten bleiben. Komplex: Fast ebenso viele rechnen damit, dass neue Berufsfelder entstehen und Maschinen in Zukunft körperlich anstrengende Arbeiten übernehmen können. Leicht:","Viele Menschen glauben, dass neue Berufe entstehen werden. Maschinen werden in Zukunft schwere Arbeiten übernehmen.","Viele Menschen glauben, dass es neue Berufe geben wird. Sie denken auch, dass Maschinen in Zukunft schwere Arbeiten machen können.",1.384957529,1.19620132,pilot_capito_9791
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: Am Sonntag sind bei einem Unfall mit einem Flugzeug in Moskau 41 Menschen gestorben.",Am Sonntag gab es einen Flugzeugunfall in Moskau. 41 Menschen sind gestorben.,Am Sonntag gab es einen Flugzeugunfall in Moskau. Dabei sind 41 Menschen gestorben.,1.065641112,1.125028507,pilot_apa_1604
"Formulieren Sie den komplexen Satz um, indem Sie mindestens einen neuen einfachen Satz bilden. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Behalten Sie die gleiche Bedeutung des Ausgangssatzes bei. Bitte geben Sie ausschliesslich den vereinfachten Satz an, ohne zusätzliche Informationen. Komplex: ich erkläre mich bereit, die aus Anlass Ihrer ambulanten Betreuung durch xxx entstehenden Kosten ab xxx bis zunächst zum xxx im Rahmen der Eingliederungshilfe gemäß §§ 53, 54 Abs. Leicht:","Ich bin bereit, die Kosten für Ihre ambulante Betreuung durch xxx zu zahlen. Dies gilt ab xxx bis zum xxx im Rahmen der Eingliederungshilfe.",Ich übernehme die Kosten für Ihre ambulante Betreuung durch xxx. Dies gilt vom xxx bis zum xxx im Rahmen der Eingliederungshilfe.,1.229570101,1.262709669,pilot_capito_12884
"Vereinfache den folgenden Satz auf Sprachniveau A2: Zweimal täglich Ihre Körpertemperatur messen täglich ein Tagebuch zu Sympto- men, Körpertemperatur, allgemeinen Aktivitäten und Kontakten zu weiteren Perso- nen führen ( für die zurückliegenden 14 Tage bitte soweit Sie sich erinnern ).","Messen Sie zweimal am Tag Ihre Körpertemperatur und schreiben Sie täglich in ein Tagebuch über Symptome, Körpertemperatur, Aktivitäten und Kontakte. Denken Sie auch an die letzten 14 Tage zurück.","Messen Sie zweimal am Tag Ihre Temperatur und schreiben Sie jeden Tag in ein Tagebuch: Ihre Symptome, Temperatur, was Sie gemacht haben und mit wem Sie Kontakt hatten. Schreiben Sie das für die letzten 14 Tage auf, so gut Sie sich erinnern können.",1.322379115,1.376289127,pilot_capito_35075
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Die Wörter in Ihrer Vereinfachung sollten kurz, beschreibend, häufig verwendet, alltagsnah und im Kontext vertraut sein. Komplex: Die Zielsetzungen orientieren sich am Grundsatz der Inklusion, wonach allen Menschen, unabhängig von der Art und dem Ausmaß einer Behinderung, die uneingeschränkte Teilhabe im Alltag und Beruf sowie in der Schule ermöglicht werden soll. Leicht:","Alle Menschen sollen mitmachen können. Egal, ob sie eine Behinderung haben oder nicht. Sie sollen überall dabei sein: im Alltag, im Job und in der Schule.","Alle Menschen sollen überall mitmachen können. Es ist egal, welche Behinderung sie haben. Sie sollen im Alltag, bei der Arbeit und in der Schule dabei sein können.",1.256876944,1.245359857,pilot_capito_51883
