prompt,simplification1,simplification2,question,options,answer
Vereinfache den folgenden Satz auf Sprachniveau A2 ohne Ihre Vereinfachung zu erläutern oder voranzustellen: Für andere ( eher technikinteressierte Menschen ) kann ein solches Gerät hingegen faszinierend sein und zu immer spezieller werdenden Konfigurationsexzessen führen.,Für technikinteressierte Menschen kann so ein Gerät faszinierend sein und zu besonderen Einstellungen führen.,"Für Menschen, die Technik mögen, kann so ein Gerät spannend sein und sie wollen immer mehr damit machen.",1.248730503,1.538837207,pilot_capito_49183
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Satz oder die Sätze Ihrer Vereinfachung sollten kurz und von geringer Komplexität sein (durchschnittlich acht bis zehn Wörter pro Satz) und eine geringe Anzahl von Aussagen pro Satz enthalten. Komplex: Der Ausschuss verweist darauf, dass bei Umbauten historischer Bausubstanz menschenrechtlich auch eine Verbindung zum Recht auf Kultur ( Artikel 30 Konvention ) hergestellt werden muss. Leicht:","Der Ausschuss sagt, dass man bei Umbauten von alten Gebäuden auch an das Recht auf Kultur denken muss.","Der Ausschuss sagt, dass bei alten Gebäuden auch an das Recht auf Kultur gedacht werden muss.",1.212970926,1.580237034,pilot_capito_40253
Vereinfache den folgenden Satz auf Sprachniveau A2: Gerade bei einem derartigen Schicksal mit so schweren körperlichen Folgen ist ein zurückfinden in ein weitgehend selbstständiges Leben oft mit sehr großen Schwierigkeiten verbunden : In vielen Situationen ist ein beruflicher Wiedereinstieg nicht ( oder nicht kurzfristig ) möglich und nicht immer können z.,"Nach einem schweren Unfall ist es oft schwer, wieder selbstständig zu leben. Manchmal kann man nicht schnell wieder arbeiten.","Wenn jemand einen schlimmen Unfall hatte, ist es oft sehr schwer, wieder alleine zu leben. Oft kann man nicht sofort wieder arbeiten und braucht Hilfe.",1.445382966,1.6442934,pilot_capito_19714
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: Sie sind flexibel im Rahmen der vielfältigen Arbeitsfelder der Campus Mensch Unternehmen gestaltet.",Sie können in vielen verschiedenen Bereichen bei Campus Mensch arbeiten.,Sie können in verschiedenen Bereichen bei Campus Mensch arbeiten.,1.219150134,1.215759597,pilot_capito_10523
"Schreibe den folgenden Satz in Leicher Sprache auf Sprachniveau A2: Er erhöht zum Beispiel das Risiko von Krebs, Leberzirrhose, Entzündungen der Bauchspeicheldrüse, Herz-Kreislauf-Erkrankungen, Erkrankungen des Nervensystems, Gedächtnisstörungen und psychischen Problemen.","Er kann zum Beispiel Krebs, Leberkrankheiten, Entzündungen der Bauchspeicheldrüse, Herzkrankheiten, Nervenschäden, Gedächtnisprobleme und psychische Probleme verursachen.","Er kann zum Beispiel das Risiko für Krebs, Leberkrankheiten, Bauchspeicheldrüsenprobleme, Herzkrankheiten, Nervenprobleme, Gedächtnisprobleme und psychische Probleme erhöhen.",1.174998859,1.22675468,pilot_capito_18045
Schreibe den folgenden Satz in Leicher Sprache auf Sprachniveau A2: Dann können Sie alle Informationen auf der Internetseite www.justiz.gv.at//erwachsenenschutz lesen.,Dann können Sie alles auf der Internetseite www.justiz.gv.at//erwachsenenschutz lesen.,Dann können Sie alle Informationen auf der Internetseite www.justiz.gv.at//erwachsenenschutz lesen.,1.114357956,1.01472316,pilot_capito_51413
"Vereinfache den folgenden Satz auf Sprachniveau A2 ohne Ihre Vereinfachung zu erläutern oder voranzustellen: Das hatte zur Folge, dass - nach mehreren gemeinsamen Gesprächsrunden in den Räumlichkeiten der Behindertenanwaltschaft - die Anwaltschaft eine Stellungnahme zur damals geplanten Gesetzesänderung abgeben konnte, die von sehr vielen anderen Interessensvertretern mitgetragen werden konnte und in der Folge auch offiziell unterstützt worden ist.","Nach vielen Treffen konnte die Anwaltschaft eine Stellungnahme zur geplanten Gesetzesänderung abgeben, die von vielen anderen unterstützt wurde.","Nach vielen Gesprächen konnte die Anwaltschaft eine Stellungnahme zur geplanten Gesetzesänderung abgeben, die von vielen unterstützt wurde.",1.279188909,1.11528318,pilot_capito_4252
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: Mit dieser Ausstellung beginnen wir, die Geschichten behinderter Menschen in unserer Stadt zu sammeln und zu erzählen : Geschichten von heute und Geschichten von früher.",Mit dieser Ausstellung erzählen wir die Geschichten von behinderten Menschen aus unserer Stadt: Geschichten von heute und früher.,Mit dieser Ausstellung sammeln und erzählen wir die Geschichten von behinderten Menschen in unserer Stadt: Geschichten von heute und von früher.,1.401492211,1.187864451,pilot_capito_64804
"Schreibe den folgenden komplexen Satz um und verwende einfachere Wörter, kürzere Sätze und einfachere grammatikalische Strukturen. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Inhalt soll dabei erhalten bleiben. Komplex: An der Herrenberger Tagung berichten Oberdorfer und die anderen Teilnehmer der GWW von ihrer Mitsprache im Unternehmen und von Projekten, in denen sie als Referenten auftreten. Leicht:","Bei der Tagung in Herrenberg sprechen Oberdorfer und die anderen Teilnehmer der GWW über ihre Beteiligung im Unternehmen. Sie erzählen auch von Projekten, bei denen sie als Vortragende mitmachen.","Bei der Tagung in Herrenberg erzählen Oberdorfer und die anderen Teilnehmer der GWW über ihre Beteiligung im Unternehmen. Sie sprechen auch über Projekte, bei denen sie Vorträge halten.",1.232622683,1.230290573,pilot_capito_63799
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Halten Sie sich an die Richtlinien des Buches ""Leichte Sprache: das Regelbuch"" von Christiane Maaß aus dem Jahr 2015. Geben Sie Ihre Vereinfachung ohne weiteren Metakommentar an. Komplex: Zu PSA gehören die Auto-Marken Peugeot, DS, Citroen und Opel. Leicht:","Zu PSA gehören vier Auto-Marken. Diese Marken heißen Peugeot, DS, Citroen und Opel.","PSA hat die Auto-Marken Peugeot, DS, Citroen und Opel.",1.40697134,1.076503673,pilot_apa_3527
