prompt,simplification1,simplification2,question,options,answer
Vereinfache den folgenden Satz auf Sprachniveau A2: Nur darf man sie weiterhin nicht im Lokal essen.,Man darf sie immer noch nicht im Lokal essen.,Man darf sie nicht im Restaurant essen.,1.103720075,1.340808753,pilot_apa_1670
Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Satz oder die Sätze Ihrer Vereinfachung sollten kurz und von geringer Komplexität sein (durchschnittlich acht bis zehn Wörter pro Satz) und eine geringe Anzahl von Aussagen pro Satz enthalten. Komplex: Voraussetzung hierfür ist unter anderem das eingetragene Merkzeichen aG im Schwerbehindertenausweis und dass die Mobilität nicht durch Angehörige oder durch Benutzung eines eigenen Fahrzeuges sichergestellt ist. Leicht:,"Du brauchst das Merkzeichen aG im Schwerbehindertenausweis. Deine Familie kann dir nicht helfen, dich zu bewegen. Du hast kein eigenes Auto.",Sie brauchen das Merkzeichen aG im Schwerbehindertenausweis. Außerdem dürfen Angehörige oder ein eigenes Auto Ihre Mobilität nicht sichern.,1.255221857,1.412043166,pilot_capito_23634
"Vereinfache den folgenden Satz auf Sprachniveau A2 ohne Ihre Vereinfachung zu erläutern oder voranzustellen: Die Vorgaben der Konvention dazu lauten unter anderem : Handlungen oder Praktiken, die mit diesem Übereinkommen unvereinbar sind, zu unterlassen und dafür zu sorgen, dass die staatlichen Behörden und öffentlichen Einrichtungen im Einklang mit diesem Übereinkommen handeln. ","Man soll Handlungen vermeiden, die nicht mit der Konvention übereinstimmen, und sicherstellen, dass Behörden danach handeln.","Laut der Konvention sollen Handlungen vermieden werden, die nicht mit den Regeln übereinstimmen, und Behörden sollen diese Regeln einhalten.",1.450448767,1.80397626,pilot_capito_55778
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Die Wörter in Ihrer Vereinfachung sollten kurz, beschreibend, häufig verwendet, alltagsnah und im Kontext vertraut sein. Komplex: Die anonyme Geburt im Krankenhaus : Sie können Ihr Kind an einem sicheren Ort bekommen. Leicht:",Du kannst dein Baby im Krankenhaus bekommen. Dort ist es sicher. Niemand muss deinen Namen wissen.,Im Krankenhaus können Sie Ihr Baby heimlich bekommen. Dort ist es sicher.,1.512076846,1.558985621,pilot_capito_2319
Vereinfache den folgenden Satz auf Sprachniveau A2: Darüber hinaus müssen in der Lebenshilfe Ennstal genügend Plätze für die Wohnform vorhanden sein und die vorherige schriftliche Zustimmung der Geschäftsführung // Standortleitung vorliegen.,"In der Lebenshilfe Ennstal müssen genug Wohnplätze da sein, und die Chefs müssen vorher schriftlich zustimmen.",Es muss genug Platz zum Wohnen in der Lebenshilfe Ennstal geben und die Chefs müssen vorher schriftlich zustimmen.,1.21611485,1.258658282,pilot_capito_51560
Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Satz oder die Sätze Ihrer Vereinfachung sollten kurz und von geringer Komplexität sein (durchschnittlich acht bis zehn Wörter pro Satz) und eine geringe Anzahl von Aussagen pro Satz enthalten. Komplex: Das Betreten von allen Obdachlosen- und Flüchtlingsunterkünften ( Gemeinschaftsunterkünfte ) im Bezirk des Landkreises Böblingen ist allen dort nicht untergebrachten oder nicht beruflich tätigen Personen untersagt. Leicht:,"Sie dürfen nicht in Obdachlosenheime oder Flüchtlingsheime gehen. Nur wer dort arbeitet oder wohnt, darf rein.","Du darfst nicht in Obdachlosen- und Flüchtlingsheime gehen. Das gilt für alle, die dort nicht wohnen oder arbeiten.",1.423679677,1.246502981,pilot_capito_38092
Schreibe den folgenden Satz in Leicher Sprache auf Sprachniveau A2: Es gibt daher nur einzelne Initiativen die dieses Defizit auszugleichen versuchen.,"Deshalb gibt es nur wenige Versuche, dieses Problem zu lösen.","Es gibt nur wenige Projekte, die versuchen, dieses Problem zu lösen.",1.294823615,1.109306399,pilot_capito_23377
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: Dies gilt auch dann, wenn diese von Menschen mit Behinderung aus Gründen der Integration besucht werden.","Das gilt auch, wenn Menschen mit Behinderung dort hingehen, um dazuzugehören.","Das gilt auch, wenn Menschen mit Behinderung dort hingehen, um Teil der Gruppe zu sein.",1.135289462,1.234317201,pilot_capito_16746
"Schreibe den folgenden komplexen Satz um und verwende einfachere Wörter, kürzere Sätze und einfachere grammatikalische Strukturen. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Inhalt soll dabei erhalten bleiben. Komplex: Die Möglichkeiten der Unterstützung sind sehr vielfältig : Sie sollen ausgleichend sein und ohne zu bevormunden, eine chancengleiche Teilhabe am gesellschaftlichen Leben ermöglichen. Leicht:","Es gibt viele Arten von Unterstützung. Diese sollen helfen, ohne zu bestimmen. Alle Menschen sollen die gleichen Chancen im Leben haben.","Es gibt viele Arten von Unterstützung. Sie sollen helfen, ohne dass man sich kontrolliert fühlt. Jeder soll die gleichen Chancen im Leben haben.",1.252482687,1.306969681,pilot_capito_27807
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Satz oder die Sätze Ihrer Vereinfachung sollten kurz und von geringer Komplexität sein (durchschnittlich acht bis zehn Wörter pro Satz) und eine geringe Anzahl von Aussagen pro Satz enthalten. Komplex: Die Lehrer zeigen den Schülern, wie man das macht. Leicht:","Die Lehrer zeigen den Schülern, wie es geht.","Die Lehrer erklären den Schülern, wie es geht.",1.180970502,1.402494708,pilot_apa_2691
