original,simplification1,simplification2,question,options,answer
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
"So sollen die Treibhaus-Gase in der EU bis zum Jahr 2030 um mindestens 55 Prozent verringert werden.","Bis zum Jahr 2030 soll es in der EU um 55 Prozent weniger Treibhaus-Gase geben.","Bis 2030 sollen die Treibhausgase in der EU um 55 Prozent sinken.","Wann soll es 55% weniger Treibhausgase in der EU geben?","2020 | 2030 | 2040",B
