original,simplification1,simplification2,question,options,answer,orig_id,simp_pair_id
Am Freitag haben für rund 450.000 Schüler in Wien und Niederösterreich die Semesterferien begonnen.,Für 450.000 Schüler in Wien und Niederösterreich hat am Freitag die Schule ausgemacht.,Am Freitag ist in Wien und in Niederösterreich Ferien. Rund 450.000 Schüler haben dann frei.,3,y,2,uid_apa_test_496,r3_pid_apa27
"Allerdings sagen einige Geheimdienste aus dem Ausland, dass das BVT nicht genug macht, um seine geheime Arbeit zu schützen.","Es gibt aber auch Menschen, die behaupten, dass das BVT nicht genug macht. Es gibt Geheimdienste aus dem Ausland, die das sagen. Sie behaupten, dass das BVT seine Arbeit nicht genug schützt.",Einige Geheimdienste aus dem Ausland sagen: Das BVT schützt seine Arbeit nicht genug.,4,y,19,uid_apa_test_599,r3_pid_apa206
"Allerdings sagen einige Geheimdienste aus dem Ausland, dass das BVT nicht genug macht, um seine geheime Arbeit zu schützen.","Aber einige Geheim-Dienste aus dem Ausland sagen, dass das BVT nicht genug macht.",Aber das BVT macht nicht genug. Das sagen Geheimdienste aus dem Ausland.,3,y,1,uid_apa_test_599,r3_pid_apa159
Der 65. Eurovision Song Contest soll vom 12. bis 16. Mai in der Stadt Rotterdam in den Niederlanden stattfinden.,Der Eurovision Song Contest findet in Rotterdam in den Niederlanden statt. Das ist in der Stadt Rotterdam in den Niederlanden. Der Contest findet vom 12. bis 16. Mai statt.,Der Eurovision Song Contest findet in den Niederlanden statt. Der Song Contest soll vom 12. bis 16. Mai stattfinden. Die Stadt Rotterdam ist der Veranstaltungsort.,4,y,4,uid_apa_test_696,r3_pid_apa32
Dann kamen die falschen Polizisten zu den älteren Menschen nach Hause und holten das Geld ab.,Die falschen Polizisten kommen zu alten Menschen nach Hause. Sie wollen aber nicht helfen. Sondern sie klauen das Geld von den alten Menschen.,"Es klingelte an der Haustür von den älteren Menschen. Draußen standen zwei falsche Polizisten. Sie erzählten den älteren Menschen, dass sie Geld von ihnen brauchen. Dann holten die falschen Polizisten das Geld von den älteren Menschen ab.",1,y,14,uid_apa_test_722,r3_pid_apa270
"Als Opposition gelten alle Parteien, die im Parlament vertreten sind, aber nicht der Regierung angehören.",Die Regierung ist die stärkste Partei. Die anderen Parteien sind die Opposition.,"Die Opposition sind alle Parteien, die im Parlament vertreten sind. Allerdings sind sie nicht in der Regierung vertreten.",1,n,6,uid_apa_test_0,r3_pid_apa123
Dann kamen die falschen Polizisten zu den älteren Menschen nach Hause und holten das Geld ab.,Dann kamen die falschen Polizisten nach Hause zu den alten Menschen. Die falschen Polizisten holten das Geld aus den Häusern.,Dann kamen die falschen Polizisten. Sie holten das Geld von den älteren Menschen ab. Das waren die falschen Polizisten.,4,y,1,uid_apa_test_722,r3_pid_apa288
Es stammt vom italienischen Künstler Leonardo da Vinci und ist rund 500 Jahre alt.,Es ist fast 500 Jahre alt. Es stammt von einem Künstler aus Italien. Der Künstler heißt Leonardo da Vinci.,Das Bild ist rund 500 Jahre alt. Es stammt vom italienischen Künstler Leonardo da Vinci.,3,y,4,uid_apa_test_46,r3_pid_apa91
"Ende September gab es noch 295.000 Kurzarbeiter, im Frühjahr waren es sogar 1,3 Millionen.","Ende September waren in Österreich noch rund 295.000 Menschen in Kurz-Arbeit. Im Frühjahr waren es fast 1,3 Millionen.","Im September sind viele Menschen wieder bei der Arbeit. Nur 295.000 Menschen waren noch in Kurz-Arbeit. Im Frühling waren es 1,3 Millionen Menschen.",1,y,5,uid_apa_test_448,r3_pid_apa60
"Besonders stark regnete und hagelte es in Oberösterreich, dort waren 65 Feuerwehren mit fast 1.000 Leuten im Einsatz.",In Oberösterreich waren 65 Feuerwehren mit fast 1.000 Menschen im Einsatz. Dort regnete es und hagelte besonders stark.,In Oberösterreich hat es viel Hagel und Regen gegeben. Die Feuerwehr hat viel zu tun.,1,n,3,uid_apa_test_612,r3_pid_apa250
Der Präsident von China Xi Jinping besuchte mit einer Maske und einem weißen Kittel ein Krankenhaus in Peking.,In China besuchte der Präsident Xi Jinping ein Krankenhaus. Er trug eine Maske und einen Kittel.,"In Peking in China hat sich der Präsident anguckt, wie man im Krankenhaus gegen das Virus kämpft. Er trug eine Maske und einen Kittel.",3,n,8,uid_apa_test_649,r3_pid_apa194
Dabei wurde er von einem weiteren umstürzenden Baum getroffen und getötet.,Dann fiel auch ein Baum auf den Mann. So wurde der Mann tot.,Dabei wurde er von einem anderen Baum getroffen und getötet.,4,y,3,uid_apa_test_671,r3_pid_apa14
Am Freitag haben für rund 450.000 Schüler in Wien und Niederösterreich die Semesterferien begonnen.,In Wien und Niederösterreich sind die Semester-Ferien jetzt. Insgesamt sind rund 450.000 Schüler zu Hause. Das sind Schüler aus Wien und aus Niederösterreich.,Am Freitag sind für 450.000 Schüler im Bundesland Wien und in Niederösterreich die Semester-Ferien angefangen.,4,y,8,uid_apa_test_496,r3_pid_apa214
"3.639 Menschen befinden sich wegen dem Corona-Virus derzeit im Spital, 701 davon auf einer Intensiv-Station.",Dafür sind derzeit 3.639 Menschen im Spital. 701 davon liegen auf der Intensiv-Station.,3.639 Menschen haben sich mit dem Corona-Virus angesteckt. 701 davon sind in einem Spital. 701 von ihnen sind sehr krank. Sie sind auf Intensiv-Stationen in einem Spital.,4,n,14,uid_apa_test_737,r3_pid_apa112
Am Mittwoch hat es um 8.30 Uhr in der Gegend von Admont in der Steiermark ein Erdbeben gegeben.,"Am Mittwoch hat es in der Steiermark um 8.30 Uhr am Morgen ein Erdbeben gegeben. Das Erdbeben hatte eine Stärke von 4,1.",Es hat in der Steiermark ein Erdbeben gegeben. Das Erdbeben war bei Admont. Das Erdbeben war aber nicht so stark.,1,n,2,uid_apa_test_654,r3_pid_apa164
"Die EU kritisiert, dass in China die Volksgruppe der Uiguren stark benachteiligt wird.","Die EU sagt, dass die Uiguren in China schlecht behandelt werden.",Die EU kritisiert China sehr. Denn die Volksgruppe der Uiguren lebt unter sehr schlechten Bedingungen.,1,y,4,uid_apa_test_153,r3_pid_apa89
Die 2 Frauen bekommen den Nobelpreis für die Entwicklung der sogenannten Gen-Schere CRISPR/Cas9.,Die 2 Frauen bekommen den Nobelpreis. Sie haben die sogenannte Gen-Schere erfunden. Die Gen-Schere heißt CRISPR/Cas9.,Sie haben das genetische Werkzeug CRISPR/Cas9 entwickelt. Es macht es leichter Genetik- Forschung zu machen. Genetik-Forscher wissen mit der Gen-Schere mehr über den Gen-Aufbau von Tieren und Menschen.,4,n,12,uid_apa_test_5,r3_pid_apa191
Das Fracht-Schiff hatte vor über einem Jahr mitten im Atlantischen Ozean technische Probleme und konnte nicht mehr weiterfahren.,Das Schiff hatte vor über einem Jahr im Atlantischen Ozean Probleme.,Das Schiff hat keine Kraft mehr. Es liegt jetzt im Ozean.,3,n,0,uid_apa_test_525,r3_pid_apa142
"""Lonely Planet"" erstellt jedes Jahr eine Rangliste der besten 10 Städte, Länder und Regionen auf der ganzen Welt.","Jedes Jahr schreibt ""Lonely Planet"" eine Liste mit den besten Reise-Zielen weltweit.","""Lonely Planet"" ist ein Reise-Buch-Verlag. Jedes Jahr macht ""Lonely Planet"" eine Liste der besten Städte. Es sind die Städte, die am meisten gern besucht werden.",4,y,13,uid_apa_test_578,r3_pid_apa69
Dabei wurden auch Geschäfte zerstört und Polizei-Autos in Brand gesetzt.,Die Menschen haben auch Geschäfte zerstört. Sie haben auch Polizei-Autos in Brand gesetzt.,Viele Geschäfte wurden zerstört und Polizei-Autos in Brand gesetzt.,4,y,4,uid_apa_test_245,r3_pid_apa74
Bei den Buben wurden neben Paul auch gerne die Namen David und Jakob gewählt.,Bei den Jungs heißen die beliebtesten Namen David und Jakob.,"Die beliebtesten Namen für die Buben waren David, Paul und Jakob.",3,y,1,uid_apa_test_423,r3_pid_apa184
Das Fracht-Schiff hatte vor über einem Jahr mitten im Atlantischen Ozean technische Probleme und konnte nicht mehr weiterfahren.,Das Schiff war vor über einem Jahr auf dem Atlantischen Ozean. Dann bekam das Schiff technische Probleme. So konnte das Schiff nicht mehr fahren.,Das Fracht-Schiff hatte vor über einem Jahr technische Probleme. Deshalb konnte es nicht mehr weiterfahren.,4,y,9,uid_apa_test_525,r3_pid_apa174
Am Mittwoch hat es um 8.30 Uhr in der Gegend von Admont in der Steiermark ein Erdbeben gegeben.,Es gab in der Steiermark am Mittwoch um 8:30 Uhr ein Erdbeben. Die Gegend heißt Admont.,Am Mittwoch hat es in der Steiermark ein Erdbeben gegeben. Es war um 8.30 Uhr. Das Erdbeben fand in der Gegend von Admont statt.,4,y,8,uid_apa_test_654,r3_pid_apa163
"Besonders stark regnete und hagelte es in Oberösterreich, dort waren 65 Feuerwehren mit fast 1.000 Leuten im Einsatz.",Besonders schlimm waren die Regen-Stürme in Oberösterreich.,In Oberösterreich gab es besonders viel Regen. Da waren die Feuerwehren im Einsatz. Insgesamt sind 65 Feuerwehren in Österreich gerade im Einsatz.,3,n,15,uid_apa_test_612,r3_pid_apa87
Dadurch ist Thiem bereits für das Halbfinale qualifiziert.,Deshalb ist Thiem bereits für das Halbfinale qualifiziert.,Jetzt ist Thiem schon im Halbfinale. Es spielt aber noch gegen jemand anderen.,3,y,5,uid_apa_test_311,r3_pid_apa257
